"X___1","PUMFID","PERSONID","AGEGP","SEX","MARST","PROV","IMMSTP","YRIMMGP","CMPHI","HLEV2G","CFID","CFSIZE","CFMJSI","CFATINC","CFEARNG","EFID","EFSIZE","EFATINC","HHSIZE","FWEIGHT","Province","region","sexe","statut_mat","niveau_educ"
278,2243,224304,2,1,96,47,6,6,6,6,"2243A01",5,2,121875,135000,"2243A",5,121875,5,191.5483,"Saskatchewan","Ouest","Homme","Non applicable","Non applicable"
304,2255,225501,12,2,1,47,6,6,1,2,"2255A01",2,3,24950,23100,"2255A",2,24950,2,219.2029,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
311,2258,225801,8,2,1,12,6,6,1,4,"2258A01",3,2,48000,47000,"2258A",6,101870,6,885.6353,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
337,2266,226603,1,1,96,35,6,6,6,6,"2266A01",3,2,105245,125500,"2266A",3,105245,3,513.6287,"Ontario","Ontario","Homme","Non applicable","Non applicable"
392,2295,229501,6,2,2,24,6,6,1,2,"2295A01",2,2,37185,35500,"2295A",2,37185,2,662.3311,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
420,2305,230504,1,2,96,46,6,6,6,6,"2305A01",5,2,71135,70000,"2305A",5,71135,5,159.783,"Manitoba","Ouest","Femme","Non applicable","Non applicable"
479,2331,233101,14,1,1,48,2,6,1,4,"2331A01",2,2,54485,48500,"2331A",2,54485,2,842.8473,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
497,2342,234201,15,2,1,35,6,6,1,3,"2342A01",2,2,82965,90000,"2342A",2,82965,2,1009.1716,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
499,2343,234301,16,2,1,11,6,6,2,1,"2343A01",2,4,31275,0,"2343A",2,31275,2,83.981,"Ile du prince Edouard","Atlantique","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
518,2351,235102,14,1,6,11,6,6,1,3,"2351A02",1,2,34755,29000,"2351A",3,117915,3,80.2871,"Ile du prince Edouard","Atlantique","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
528,2354,235403,1,1,96,59,6,6,6,6,"2354A01",4,2,88130,85500,"2354A",4,88130,4,265.9933,"Colombie Britanique","Colombie Britanique","Homme","Non applicable","Non applicable"
549,2362,236202,15,2,1,11,6,6,1,3,"2362A01",2,2,103865,65275,"2362A",2,103865,2,62.3235,"Ile du prince Edouard","Atlantique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
559,2366,236602,3,1,96,46,6,6,6,6,"2366A02",1,1,0,0,"2366A",4,17850,4,58.1357,"Manitoba","Ouest","Homme","Non applicable","Non applicable"
570,2369,236902,13,1,6,24,6,6,1,4,"2369A01",2,2,72435,43000,"2369A",2,72435,2,388.0786,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
575,2373,237301,6,1,6,35,1,1,1,2,"2373A01",1,2,11800,11000,"2373A",1,11800,1,1567.3787,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
590,2379,237901,15,2,6,24,6,6,2,1,"2379A01",1,2,22985,13000,"2379A",1,22985,1,193.7309,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
649,2405,240501,12,2,1,35,6,6,2,2,"2405A01",3,2,67010,53000,"2405A",3,67010,3,679.0882,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
653,2406,240602,12,2,1,59,2,6,1,3,"2406A01",2,2,113105,136000,"2406A",2,113105,2,1219.4202,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
666,2413,241301,8,2,6,48,2,6,1,4,"2413A01",1,2,123230,155000,"2413A",1,123230,1,1655.1362,"Alberta","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
676,2419,241903,7,1,6,35,6,6,1,4,"2419A01",3,2,145090,167500,"2419A",3,145090,3,139.7299,"Ontario","Ontario","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
682,2422,242201,16,1,1,59,6,6,1,3,"2422A01",2,6,77260,0,"2422A",2,77260,2,456.4736,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
688,2424,242401,13,2,1,24,2,6,1,3,"2424A01",2,2,47595,51250,"2424A",2,47595,2,674.889,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
745,2449,244901,11,1,1,35,2,6,1,4,"2449A01",3,2,87455,98000,"2449A",3,87455,3,1020.4658,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
755,2453,245303,2,2,96,35,6,6,6,6,"2453A01",3,4,43275,18500,"2453A",3,43275,3,73.6352,"Ontario","Ontario","Femme","Non applicable","Non applicable"
763,2456,245601,15,2,5,46,6,6,1,2,"2456A01",1,4,38025,0,"2456A",1,38025,1,86.9143,"Manitoba","Ouest","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
781,2461,246102,10,2,1,24,1,1,1,3,"2461A01",3,3,39605,32300,"2461A",3,39605,3,619.3675,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
788,2464,246404,6,2,6,35,6,6,1,2,"2464A01",4,2,120780,69700,"2464A",4,120780,4,1168.1574,"Ontario","Ontario","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
790,2466,246601,15,2,1,24,2,6,2,3,"2466A01",2,4,46920,17500,"2466A",2,46920,2,1685.7052,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
811,2478,247801,10,2,1,35,6,6,1,4,"2478A01",4,2,81095,95925,"2478A",4,81095,4,149.4924,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
841,2490,249006,1,2,96,59,6,6,6,6,"2490A01",5,2,122735,72000,"2490A",6,134460,6,3004.3708,"Colombie Britanique","Colombie Britanique","Femme","Non applicable","Non applicable"
843,2492,249201,16,2,5,10,6,6,2,1,"2492A01",1,4,20425,0,"2492A",1,20425,1,205.4055,"Terre-Neuve-et-Labrador","Atlantique","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
854,2496,249605,1,2,96,24,6,6,6,6,"2496A01",5,2,275945,370000,"2496A",5,275945,5,328.3438,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
874,2503,250306,9,2,99,24,1,1,1,4,"2503B01",1,4,1175,425,"2503B",1,1175,6,3322.3662,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non r<U+00E9>ponse","Dipl<U+00F4>me ou certificat universitaire"
881,2506,250601,15,1,1,59,6,6,2,1,"2506A01",2,2,53145,31000,"2506A",2,53145,2,201.6528,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
909,2515,251503,16,2,5,47,6,6,2,1,"2515A02",1,4,20440,0,"2515A",3,77180,3,156.3509,"Saskatchewan","Ouest","Femme","Veuf","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
936,2526,252603,8,1,6,13,6,6,1,2,"2526A01",3,2,94640,111500,"2526A",3,94640,3,149.3844,"Nouveau-Brunswick","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
944,2531,253101,13,1,1,24,6,6,1,2,"2531A01",2,2,162515,223000,"2531A",2,162515,2,963.2088,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
950,2534,253401,12,1,1,35,6,6,1,3,"2534A01",4,2,119690,141000,"2534A",4,119690,4,458.1698,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
978,2544,254403,1,2,96,24,6,6,6,6,"2544A01",4,2,108145,98500,"2544A",4,108145,4,774.0535,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
983,2545,254504,7,1,6,24,6,6,1,3,"2545A01",4,2,199185,168750,"2545A",4,199185,4,617.0957,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
991,2549,254901,10,2,1,48,6,6,1,3,"2549A01",3,2,103705,128000,"2549A",3,103705,4,377.4619,"Alberta","Ouest","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1003,2554,255401,6,2,6,47,6,6,2,1,"2554A01",2,2,29075,21000,"2554A",2,29075,2,54.9534,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1038,2569,256901,11,1,4,46,1,3,1,4,"2569A01",1,2,69835,94450,"2569A",1,69835,2,139.6124,"Manitoba","Ouest","Homme","Divorc<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1069,2580,258002,11,2,2,59,1,1,1,3,"2580A01",2,2,73680,60000,"2580A",2,73680,2,1877.0931,"Colombie Britanique","Colombie Britanique","Femme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1074,2584,258401,11,1,2,10,6,6,1,9,"2584A01",3,2,146720,171500,"2584A",3,146720,3,253.157,"Terre-Neuve-et-Labrador","Atlantique","Homme","Conjoint de fait","Non r<U+00E9>ponse"
1098,2591,259103,6,1,6,13,6,6,2,1,"2591A01",3,2,119290,115000,"2591A",3,119290,3,236.2225,"Nouveau-Brunswick","Atlantique","Homme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1141,2607,260704,7,1,6,24,6,6,1,3,"2607A01",4,3,69735,48525,"2607A",4,69735,4,241.183,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1178,2625,262501,8,2,1,35,6,6,1,3,"2625A01",4,2,100670,120000,"2625A",4,100670,4,178.4404,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1184,2626,262603,7,2,6,59,2,6,1,4,"2626A01",4,2,170680,196000,"2626A",5,202050,5,4171.723,"Colombie Britanique","Colombie Britanique","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1220,2640,264003,2,2,96,47,6,6,6,6,"2640A01",3,2,33975,19500,"2640A",3,33975,3,10.1111,"Saskatchewan","Ouest","Femme","Non applicable","Non applicable"
1232,2644,264401,11,1,4,10,6,6,2,1,"2644A01",1,4,13525,2800,"2644A",1,13525,1,301.3744,"Terre-Neuve-et-Labrador","Atlantique","Homme","Divorc<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1238,2647,264702,2,2,96,35,6,6,6,6,"2647A01",2,2,46740,46000,"2647A",2,46740,2,182.4917,"Ontario","Ontario","Femme","Non applicable","Non applicable"
1273,2661,266102,10,2,1,59,6,6,1,9,"2661A01",3,2,62975,52500,"2661A",4,71600,4,745.7482,"Colombie Britanique","Colombie Britanique","Femme","Mari<U+00E9>","Non r<U+00E9>ponse"
1280,2663,266301,11,1,2,59,6,6,1,3,"2663A01",2,3,103285,127500,"2663A",2,103285,2,725.2665,"Colombie Britanique","Colombie Britanique","Homme","Conjoint de fait","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1283,2665,266501,13,2,1,12,6,6,1,3,"2665A01",2,2,53150,62300,"2665A",2,53150,2,205.1689,"Nouvelle-<U+00C9>cosse","Atlantique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1291,2667,266705,3,1,96,46,6,6,6,6,"2667A01",5,4,38900,19100,"2667A",5,38900,5,452.3624,"Manitoba","Ouest","Homme","Non applicable","Non applicable"
1293,2668,266802,16,2,1,35,2,6,1,3,"2668A01",2,6,64135,0,"2668A",2,64135,2,1275.5464,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1297,2671,267101,8,1,6,12,6,6,1,3,"2671A01",1,2,55145,67500,"2671A",1,55145,1,159.8163,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1307,2676,267601,9,1,1,35,6,6,1,2,"2676A01",3,2,78865,54000,"2676A",3,78865,3,112.6157,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1427,2721,272104,3,2,96,35,6,6,6,6,"2721A01",4,2,145255,185000,"2721A",4,145255,4,438.5304,"Ontario","Ontario","Femme","Non applicable","Non applicable"
1431,2722,272204,2,2,96,13,6,6,6,6,"2722A01",4,2,60650,66000,"2722A",4,60650,4,426.1946,"Nouveau-Brunswick","Atlantique","Femme","Non applicable","Non applicable"
1449,2731,273102,13,2,1,48,6,6,1,2,"2731A01",2,2,285310,220000,"2731A",2,285310,2,135.8998,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1458,2736,273602,13,2,1,24,6,6,2,1,"2736A01",3,2,77080,23275,"2736A",3,77080,3,369.4233,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1461,2737,273702,16,2,1,24,6,6,2,1,"2737A01",2,4,33025,0,"2737A",2,33025,2,250.1655,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1474,2742,274203,7,2,99,13,6,6,1,4,"2742A01",1,2,3350,1900,"2742A",3,11425,3,615.5482,"Nouveau-Brunswick","Atlantique","Femme","Non r<U+00E9>ponse","Dipl<U+00F4>me ou certificat universitaire"
1480,2745,274503,3,1,96,48,6,6,6,6,"2745A01",3,2,29400,14200,"2745A",3,29400,3,91.2959,"Alberta","Ouest","Homme","Non applicable","Non applicable"
1482,2747,274701,10,1,1,46,2,6,1,4,"2747A01",3,2,115575,138000,"2747A",3,115575,3,195.9422,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1485,2748,274801,14,1,1,24,6,6,1,4,"2748A01",2,6,78970,11450,"2748A",2,78970,2,213.1587,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1489,2750,275002,11,2,1,48,6,6,1,2,"2750A01",2,5,94760,18000,"2750A",2,94760,2,306.1431,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1552,2778,277801,15,2,3,24,6,6,2,1,"2778A01",2,4,26675,1050,"2778A",2,26675,2,304.81,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","S<U+00E9>par<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1557,2780,278003,1,2,96,59,6,6,6,6,"2780A01",4,2,71475,77250,"2780A",4,71475,4,652.0134,"Colombie Britanique","Colombie Britanique","Femme","Non applicable","Non applicable"
1581,2790,279002,13,1,1,13,6,6,1,3,"2790A01",2,2,64065,55075,"2790A",2,64065,2,239.3696,"Nouveau-Brunswick","Atlantique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1603,2802,280201,16,1,1,13,6,6,2,1,"2802A01",2,4,40450,0,"2802A",2,40450,2,274.5462,"Nouveau-Brunswick","Atlantique","Homme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
1621,2809,280903,3,1,96,24,6,6,6,6,"2809A01",3,2,49430,37000,"2809A",3,49430,3,106.0186,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
1652,2822,282204,5,2,6,10,6,6,1,2,"2822A01",4,2,132090,158000,"2822A",4,132090,4,314.3273,"Terre-Neuve-et-Labrador","Atlantique","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1661,2827,282702,8,2,1,35,6,6,1,4,"2827A01",5,2,78220,77500,"2827A",5,78220,5,167.3809,"Ontario","Ontario","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1706,2846,284603,6,2,6,59,6,6,1,2,"2846A01",4,2,189000,214025,"2846A",4,189000,4,491.6392,"Colombie Britanique","Colombie Britanique","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1717,2852,285201,7,1,6,47,6,6,1,4,"2852A01",1,2,56290,62500,"2852A",1,56290,1,319.4212,"Saskatchewan","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1718,2853,285301,8,2,1,47,6,6,1,4,"2853A01",2,2,45195,49000,"2853A",2,45195,2,325.1446,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
1758,2871,287101,15,1,1,35,6,6,1,3,"2871A01",2,6,70510,20000,"2871A",2,70510,2,390.2648,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1771,2876,287604,5,1,6,12,6,6,1,2,"2876A01",6,2,112720,115000,"2876A",6,112720,6,451.0122,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1782,2881,288102,13,2,2,48,6,6,1,2,"2881A01",2,2,134200,185000,"2881A",2,134200,2,99.7588,"Alberta","Ouest","Femme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1828,2900,290001,13,1,1,13,6,6,1,2,"2900A01",2,2,107735,137750,"2900A",2,107735,2,202.2739,"Nouveau-Brunswick","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1829,2900,290002,12,2,1,13,6,6,1,3,"2900A01",2,2,107735,137750,"2900A",2,107735,2,202.2739,"Nouveau-Brunswick","Atlantique","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1835,2904,290401,11,1,6,48,6,6,1,3,"2904A01",1,5,52450,17000,"2904A",1,52450,1,813.0692,"Alberta","Ouest","Homme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1836,2905,290501,16,1,1,59,6,6,1,2,"2905A01",2,4,49210,775,"2905A",2,49210,2,451.4343,"Colombie Britanique","Colombie Britanique","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1847,2910,291003,2,2,96,24,6,6,6,6,"2910A01",4,2,119725,142500,"2910A",4,119725,4,1038.8198,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Non applicable","Non applicable"
1878,2922,292205,14,2,5,13,6,6,1,2,"2922A02",1,2,44830,38000,"2922A",5,123215,5,248.0561,"Nouveau-Brunswick","Atlantique","Femme","Veuf","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1885,2925,292501,10,2,1,47,6,6,1,2,"2925A01",3,2,94615,118500,"2925A",3,94615,3,74.1777,"Saskatchewan","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1897,2929,292902,15,1,1,10,6,6,1,2,"2929A01",2,2,109770,91000,"2929A",2,109770,2,232.9586,"Terre-Neuve-et-Labrador","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
1922,2942,294201,13,1,4,46,2,6,1,3,"2942A01",1,2,68060,95600,"2942A",1,68060,1,72.035,"Manitoba","Ouest","Homme","Divorc<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
1932,2946,294601,10,2,6,47,6,6,1,4,"2946A01",1,2,51060,62500,"2946A",1,51060,1,178.8029,"Saskatchewan","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
2012,2977,297705,3,2,96,13,6,6,6,6,"2977A01",5,2,71370,70000,"2977A",6,110590,6,450.5022,"Nouveau-Brunswick","Atlantique","Femme","Non applicable","Non applicable"
2028,2984,298401,9,2,1,48,6,6,1,4,"2984A01",4,2,240385,320000,"2984A",4,240385,4,94.018,"Alberta","Ouest","Femme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
2036,2987,298702,12,1,1,35,2,6,1,4,"2987A01",4,2,118770,145300,"2987A",4,118770,4,1370.2969,"Ontario","Ontario","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
2062,2996,299603,5,1,6,46,2,6,1,2,"2996A01",5,2,74830,80425,"2996A",5,74830,5,366.7502,"Manitoba","Ouest","Homme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
2086,3005,300503,7,1,1,48,6,6,1,2,"3005A01",4,2,67870,72500,"3005A",4,67870,4,570.5646,"Alberta","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
2090,3006,300601,16,2,6,35,6,6,1,2,"3006A01",1,6,33950,0,"3006A",1,33950,1,706.6774,"Ontario","Ontario","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
2107,3013,301302,10,2,2,59,6,6,2,2,"3013A01",2,2,77710,96000,"3013A",2,77710,2,591.0577,"Colombie Britanique","Colombie Britanique","Femme","Conjoint de fait","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
2149,3029,302904,1,1,96,35,6,6,6,6,"3029A01",4,2,76730,66000,"3029A",4,76730,4,132.339,"Ontario","Ontario","Homme","Non applicable","Non applicable"
2178,3043,304301,15,2,1,35,6,6,2,3,"3043A01",2,6,54680,0,"3043A",2,54680,2,338.6368,"Ontario","Ontario","Femme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
2188,3046,304603,1,1,96,24,6,6,6,6,"3046A01",4,2,89850,75500,"3046A",4,89850,4,473.7678,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
