year,quarter,location,type,persons
1977,3,Newfoundland and Labrador,in-migration,3517
1977,4,Newfoundland and Labrador,in-migration,1530
1978,1,Newfoundland and Labrador,in-migration,1391
1978,2,Newfoundland and Labrador,in-migration,1743
1978,3,Newfoundland and Labrador,in-migration,3611
1978,4,Newfoundland and Labrador,in-migration,1589
1979,1,Newfoundland and Labrador,in-migration,1443
1979,2,Newfoundland and Labrador,in-migration,1819
1979,3,Newfoundland and Labrador,in-migration,3864
1979,4,Newfoundland and Labrador,in-migration,1709
1980,1,Newfoundland and Labrador,in-migration,1543
1980,2,Newfoundland and Labrador,in-migration,1950
1980,3,Newfoundland and Labrador,in-migration,3932
1980,4,Newfoundland and Labrador,in-migration,1747
1981,1,Newfoundland and Labrador,in-migration,1565
1981,2,Newfoundland and Labrador,in-migration,1994
1981,3,Newfoundland and Labrador,in-migration,3494
1981,4,Newfoundland and Labrador,in-migration,1365
1982,1,Newfoundland and Labrador,in-migration,1811
1982,2,Newfoundland and Labrador,in-migration,2093
1982,3,Newfoundland and Labrador,in-migration,4258
1982,4,Newfoundland and Labrador,in-migration,2062
1983,1,Newfoundland and Labrador,in-migration,1444
1983,2,Newfoundland and Labrador,in-migration,2429
1983,3,Newfoundland and Labrador,in-migration,3084
1983,4,Newfoundland and Labrador,in-migration,1476
1984,1,Newfoundland and Labrador,in-migration,1059
1984,2,Newfoundland and Labrador,in-migration,1134
1984,3,Newfoundland and Labrador,in-migration,2178
1984,4,Newfoundland and Labrador,in-migration,1439
1985,1,Newfoundland and Labrador,in-migration,1189
1985,2,Newfoundland and Labrador,in-migration,1183
1985,3,Newfoundland and Labrador,in-migration,2153
1985,4,Newfoundland and Labrador,in-migration,1444
1986,1,Newfoundland and Labrador,in-migration,1150
1986,2,Newfoundland and Labrador,in-migration,1183
1986,3,Newfoundland and Labrador,in-migration,3224
1986,4,Newfoundland and Labrador,in-migration,2097
1987,1,Newfoundland and Labrador,in-migration,1339
1987,2,Newfoundland and Labrador,in-migration,1364
1987,3,Newfoundland and Labrador,in-migration,3170
1987,4,Newfoundland and Labrador,in-migration,2511
1988,1,Newfoundland and Labrador,in-migration,1678
1988,2,Newfoundland and Labrador,in-migration,1739
1988,3,Newfoundland and Labrador,in-migration,3744
1988,4,Newfoundland and Labrador,in-migration,2771
1989,1,Newfoundland and Labrador,in-migration,1808
1989,2,Newfoundland and Labrador,in-migration,1783
1989,3,Newfoundland and Labrador,in-migration,3490
1989,4,Newfoundland and Labrador,in-migration,2613
1990,1,Newfoundland and Labrador,in-migration,1708
1990,2,Newfoundland and Labrador,in-migration,2291
1990,3,Newfoundland and Labrador,in-migration,3865
1990,4,Newfoundland and Labrador,in-migration,2139
1991,1,Newfoundland and Labrador,in-migration,1803
1991,2,Newfoundland and Labrador,in-migration,2471
1991,3,Newfoundland and Labrador,in-migration,3414
1991,4,Newfoundland and Labrador,in-migration,2131
1992,1,Newfoundland and Labrador,in-migration,1516
1992,2,Newfoundland and Labrador,in-migration,2205
1992,3,Newfoundland and Labrador,in-migration,2743
1992,4,Newfoundland and Labrador,in-migration,1683
1993,1,Newfoundland and Labrador,in-migration,1257
1993,2,Newfoundland and Labrador,in-migration,1875
1993,3,Newfoundland and Labrador,in-migration,2369
1993,4,Newfoundland and Labrador,in-migration,1375
1994,1,Newfoundland and Labrador,in-migration,1034
1994,2,Newfoundland and Labrador,in-migration,1802
1994,3,Newfoundland and Labrador,in-migration,2254
1994,4,Newfoundland and Labrador,in-migration,1211
1995,1,Newfoundland and Labrador,in-migration,1262
1995,2,Newfoundland and Labrador,in-migration,1679
1995,3,Newfoundland and Labrador,in-migration,2346
1995,4,Newfoundland and Labrador,in-migration,1672
1996,1,Newfoundland and Labrador,in-migration,1324
1996,2,Newfoundland and Labrador,in-migration,1663
1996,3,Newfoundland and Labrador,in-migration,2222
1996,4,Newfoundland and Labrador,in-migration,1359
1997,1,Newfoundland and Labrador,in-migration,1551
1997,2,Newfoundland and Labrador,in-migration,1830
1997,3,Newfoundland and Labrador,in-migration,2219
1997,4,Newfoundland and Labrador,in-migration,1363
1998,1,Newfoundland and Labrador,in-migration,1727
1998,2,Newfoundland and Labrador,in-migration,2083
1998,3,Newfoundland and Labrador,in-migration,2176
1998,4,Newfoundland and Labrador,in-migration,1395
1999,1,Newfoundland and Labrador,in-migration,1877
1999,2,Newfoundland and Labrador,in-migration,2547
1999,3,Newfoundland and Labrador,in-migration,2591
1999,4,Newfoundland and Labrador,in-migration,1536
2000,1,Newfoundland and Labrador,in-migration,1991
2000,2,Newfoundland and Labrador,in-migration,2282
2000,3,Newfoundland and Labrador,in-migration,2422
2000,4,Newfoundland and Labrador,in-migration,1454
2001,1,Newfoundland and Labrador,in-migration,1730
2001,2,Newfoundland and Labrador,in-migration,1893
2001,3,Newfoundland and Labrador,in-migration,2570
2001,4,Newfoundland and Labrador,in-migration,1508
2002,1,Newfoundland and Labrador,in-migration,1913
2002,2,Newfoundland and Labrador,in-migration,2793
2002,3,Newfoundland and Labrador,in-migration,2681
2002,4,Newfoundland and Labrador,in-migration,1587
2003,1,Newfoundland and Labrador,in-migration,2111
2003,2,Newfoundland and Labrador,in-migration,2819
2003,3,Newfoundland and Labrador,in-migration,2551
2003,4,Newfoundland and Labrador,in-migration,1567
2004,1,Newfoundland and Labrador,in-migration,1908
2004,2,Newfoundland and Labrador,in-migration,2371
2004,3,Newfoundland and Labrador,in-migration,2296
2004,4,Newfoundland and Labrador,in-migration,1715
2005,1,Newfoundland and Labrador,in-migration,1780
2005,2,Newfoundland and Labrador,in-migration,2422
2005,3,Newfoundland and Labrador,in-migration,2501
2005,4,Newfoundland and Labrador,in-migration,1486
2006,1,Newfoundland and Labrador,in-migration,1974
2006,2,Newfoundland and Labrador,in-migration,2334
2006,3,Newfoundland and Labrador,in-migration,2841
2006,4,Newfoundland and Labrador,in-migration,1637
2007,1,Newfoundland and Labrador,in-migration,1601
2007,2,Newfoundland and Labrador,in-migration,2327
2007,3,Newfoundland and Labrador,in-migration,2999
2007,4,Newfoundland and Labrador,in-migration,1959
2008,1,Newfoundland and Labrador,in-migration,2233
2008,2,Newfoundland and Labrador,in-migration,2568
2008,3,Newfoundland and Labrador,in-migration,2956
2008,4,Newfoundland and Labrador,in-migration,1929
2009,1,Newfoundland and Labrador,in-migration,2404
2009,2,Newfoundland and Labrador,in-migration,2973
2009,3,Newfoundland and Labrador,in-migration,2692
2009,4,Newfoundland and Labrador,in-migration,1806
2010,1,Newfoundland and Labrador,in-migration,2392
2010,2,Newfoundland and Labrador,in-migration,2108
2010,3,Newfoundland and Labrador,in-migration,1904
2010,4,Newfoundland and Labrador,in-migration,1698
2011,1,Newfoundland and Labrador,in-migration,2012
2011,2,Newfoundland and Labrador,in-migration,2171
2011,3,Newfoundland and Labrador,in-migration,2719
2011,4,Newfoundland and Labrador,in-migration,1517
2012,1,Newfoundland and Labrador,in-migration,2288
2012,2,Newfoundland and Labrador,in-migration,2762
2012,3,Newfoundland and Labrador,in-migration,2204
2012,4,Newfoundland and Labrador,in-migration,1319
2013,1,Newfoundland and Labrador,in-migration,2162
2013,2,Newfoundland and Labrador,in-migration,2580
2013,3,Newfoundland and Labrador,in-migration,1805
2013,4,Newfoundland and Labrador,in-migration,1220
2014,1,Newfoundland and Labrador,in-migration,1839
2014,2,Newfoundland and Labrador,in-migration,2923
2014,3,Newfoundland and Labrador,in-migration,1619
2014,4,Newfoundland and Labrador,in-migration,1155
2015,1,Newfoundland and Labrador,in-migration,2241
2015,2,Newfoundland and Labrador,in-migration,2772
2015,3,Newfoundland and Labrador,in-migration,1871
2015,4,Newfoundland and Labrador,in-migration,1091
2016,1,Newfoundland and Labrador,in-migration,2102
2016,2,Newfoundland and Labrador,in-migration,2397
2016,3,Newfoundland and Labrador,in-migration,1534
2016,4,Newfoundland and Labrador,in-migration,903
2017,1,Newfoundland and Labrador,in-migration,1713
2017,2,Newfoundland and Labrador,in-migration,2409
1961,3,Prince Edward Island,in-migration,1558
1961,4,Prince Edward Island,in-migration,1117
1962,1,Prince Edward Island,in-migration,690
1962,2,Prince Edward Island,in-migration,855
1962,3,Prince Edward Island,in-migration,1140
1962,4,Prince Edward Island,in-migration,1080
1963,1,Prince Edward Island,in-migration,643
1963,2,Prince Edward Island,in-migration,802
1963,3,Prince Edward Island,in-migration,1282
1963,4,Prince Edward Island,in-migration,962
1964,1,Prince Edward Island,in-migration,615
1964,2,Prince Edward Island,in-migration,641
1964,3,Prince Edward Island,in-migration,1129
1964,4,Prince Edward Island,in-migration,739
1965,1,Prince Edward Island,in-migration,605
1965,2,Prince Edward Island,in-migration,564
1965,3,Prince Edward Island,in-migration,1240
1965,4,Prince Edward Island,in-migration,1139
1966,1,Prince Edward Island,in-migration,566
1966,2,Prince Edward Island,in-migration,681
1966,3,Prince Edward Island,in-migration,1424
1966,4,Prince Edward Island,in-migration,1061
1967,1,Prince Edward Island,in-migration,598
1967,2,Prince Edward Island,in-migration,638
1967,3,Prince Edward Island,in-migration,1265
1967,4,Prince Edward Island,in-migration,1218
1968,1,Prince Edward Island,in-migration,511
1968,2,Prince Edward Island,in-migration,753
1968,3,Prince Edward Island,in-migration,1355
1968,4,Prince Edward Island,in-migration,1194
1969,1,Prince Edward Island,in-migration,637
1969,2,Prince Edward Island,in-migration,691
1969,3,Prince Edward Island,in-migration,1083
1969,4,Prince Edward Island,in-migration,934
1970,1,Prince Edward Island,in-migration,589
1970,2,Prince Edward Island,in-migration,595
1970,3,Prince Edward Island,in-migration,1250
1970,4,Prince Edward Island,in-migration,1373
1971,1,Prince Edward Island,in-migration,693
1971,2,Prince Edward Island,in-migration,700
1971,3,Prince Edward Island,in-migration,1576
1971,4,Prince Edward Island,in-migration,1236
1972,1,Prince Edward Island,in-migration,815
1972,2,Prince Edward Island,in-migration,689
1972,3,Prince Edward Island,in-migration,1535
1972,4,Prince Edward Island,in-migration,1206
1973,1,Prince Edward Island,in-migration,829
1973,2,Prince Edward Island,in-migration,757
1973,3,Prince Edward Island,in-migration,1770
1973,4,Prince Edward Island,in-migration,1458
1974,1,Prince Edward Island,in-migration,847
1974,2,Prince Edward Island,in-migration,872
1974,3,Prince Edward Island,in-migration,1862
1974,4,Prince Edward Island,in-migration,1581
1975,1,Prince Edward Island,in-migration,1062
1975,2,Prince Edward Island,in-migration,832
1975,3,Prince Edward Island,in-migration,1470
1975,4,Prince Edward Island,in-migration,1247
1976,1,Prince Edward Island,in-migration,831
1976,2,Prince Edward Island,in-migration,720
1976,3,Prince Edward Island,in-migration,1694
1976,4,Prince Edward Island,in-migration,728
1977,1,Prince Edward Island,in-migration,548
1977,2,Prince Edward Island,in-migration,867
1977,3,Prince Edward Island,in-migration,1742
1977,4,Prince Edward Island,in-migration,738
1978,1,Prince Edward Island,in-migration,566
1978,2,Prince Edward Island,in-migration,887
1978,3,Prince Edward Island,in-migration,1599
1978,4,Prince Edward Island,in-migration,663
1979,1,Prince Edward Island,in-migration,519
1979,2,Prince Edward Island,in-migration,803
1979,3,Prince Edward Island,in-migration,1425
1979,4,Prince Edward Island,in-migration,587
1980,1,Prince Edward Island,in-migration,463
1980,2,Prince Edward Island,in-migration,710
1980,3,Prince Edward Island,in-migration,1383
1980,4,Prince Edward Island,in-migration,567
1981,1,Prince Edward Island,in-migration,454
1981,2,Prince Edward Island,in-migration,712
1981,3,Prince Edward Island,in-migration,1558
1981,4,Prince Edward Island,in-migration,534
1982,1,Prince Edward Island,in-migration,487
1982,2,Prince Edward Island,in-migration,796
1982,3,Prince Edward Island,in-migration,1425
1982,4,Prince Edward Island,in-migration,609
1983,1,Prince Edward Island,in-migration,493
1983,2,Prince Edward Island,in-migration,876
1983,3,Prince Edward Island,in-migration,1465
1983,4,Prince Edward Island,in-migration,648
1984,1,Prince Edward Island,in-migration,497
1984,2,Prince Edward Island,in-migration,609
1984,3,Prince Edward Island,in-migration,1278
1984,4,Prince Edward Island,in-migration,800
1985,1,Prince Edward Island,in-migration,405
1985,2,Prince Edward Island,in-migration,421
1985,3,Prince Edward Island,in-migration,1269
1985,4,Prince Edward Island,in-migration,777
1986,1,Prince Edward Island,in-migration,407
1986,2,Prince Edward Island,in-migration,377
1986,3,Prince Edward Island,in-migration,1077
1986,4,Prince Edward Island,in-migration,666
1987,1,Prince Edward Island,in-migration,457
1987,2,Prince Edward Island,in-migration,520
1987,3,Prince Edward Island,in-migration,1180
1987,4,Prince Edward Island,in-migration,870
1988,1,Prince Edward Island,in-migration,541
1988,2,Prince Edward Island,in-migration,572
1988,3,Prince Edward Island,in-migration,1282
1988,4,Prince Edward Island,in-migration,1051
1989,1,Prince Edward Island,in-migration,504
1989,2,Prince Edward Island,in-migration,553
1989,3,Prince Edward Island,in-migration,1233
1989,4,Prince Edward Island,in-migration,1010
1990,1,Prince Edward Island,in-migration,483
1990,2,Prince Edward Island,in-migration,596
1990,3,Prince Edward Island,in-migration,1145
1990,4,Prince Edward Island,in-migration,549
1991,1,Prince Edward Island,in-migration,385
1991,2,Prince Edward Island,in-migration,730
1991,3,Prince Edward Island,in-migration,1181
1991,4,Prince Edward Island,in-migration,582
1992,1,Prince Edward Island,in-migration,487
1992,2,Prince Edward Island,in-migration,687
1992,3,Prince Edward Island,in-migration,1110
1992,4,Prince Edward Island,in-migration,545
1993,1,Prince Edward Island,in-migration,442
1993,2,Prince Edward Island,in-migration,552
1993,3,Prince Edward Island,in-migration,840
1993,4,Prince Edward Island,in-migration,623
1994,1,Prince Edward Island,in-migration,477
1994,2,Prince Edward Island,in-migration,748
1994,3,Prince Edward Island,in-migration,901
1994,4,Prince Edward Island,in-migration,570
1995,1,Prince Edward Island,in-migration,435
1995,2,Prince Edward Island,in-migration,608
1995,3,Prince Edward Island,in-migration,903
1995,4,Prince Edward Island,in-migration,613
1996,1,Prince Edward Island,in-migration,572
1996,2,Prince Edward Island,in-migration,794
1996,3,Prince Edward Island,in-migration,864
1996,4,Prince Edward Island,in-migration,497
1997,1,Prince Edward Island,in-migration,586
1997,2,Prince Edward Island,in-migration,747
1997,3,Prince Edward Island,in-migration,784
1997,4,Prince Edward Island,in-migration,419
1998,1,Prince Edward Island,in-migration,563
1998,2,Prince Edward Island,in-migration,804
1998,3,Prince Edward Island,in-migration,814
1998,4,Prince Edward Island,in-migration,438
1999,1,Prince Edward Island,in-migration,467
1999,2,Prince Edward Island,in-migration,860
1999,3,Prince Edward Island,in-migration,789
1999,4,Prince Edward Island,in-migration,470
2000,1,Prince Edward Island,in-migration,584
2000,2,Prince Edward Island,in-migration,819
2000,3,Prince Edward Island,in-migration,712
2000,4,Prince Edward Island,in-migration,516
2001,1,Prince Edward Island,in-migration,594
2001,2,Prince Edward Island,in-migration,745
2001,3,Prince Edward Island,in-migration,801
2001,4,Prince Edward Island,in-migration,393
2002,1,Prince Edward Island,in-migration,538
2002,2,Prince Edward Island,in-migration,907
2002,3,Prince Edward Island,in-migration,821
2002,4,Prince Edward Island,in-migration,426
2003,1,Prince Edward Island,in-migration,521
2003,2,Prince Edward Island,in-migration,918
2003,3,Prince Edward Island,in-migration,750
2003,4,Prince Edward Island,in-migration,503
2004,1,Prince Edward Island,in-migration,542
2004,2,Prince Edward Island,in-migration,775
2004,3,Prince Edward Island,in-migration,653
2004,4,Prince Edward Island,in-migration,316
2005,1,Prince Edward Island,in-migration,589
2005,2,Prince Edward Island,in-migration,979
2005,3,Prince Edward Island,in-migration,790
2005,4,Prince Edward Island,in-migration,276
2006,1,Prince Edward Island,in-migration,688
2006,2,Prince Edward Island,in-migration,706
2006,3,Prince Edward Island,in-migration,798
2006,4,Prince Edward Island,in-migration,422
2007,1,Prince Edward Island,in-migration,581
2007,2,Prince Edward Island,in-migration,684
2007,3,Prince Edward Island,in-migration,773
2007,4,Prince Edward Island,in-migration,487
2008,1,Prince Edward Island,in-migration,609
2008,2,Prince Edward Island,in-migration,952
2008,3,Prince Edward Island,in-migration,852
2008,4,Prince Edward Island,in-migration,347
2009,1,Prince Edward Island,in-migration,687
2009,2,Prince Edward Island,in-migration,636
2009,3,Prince Edward Island,in-migration,822
2009,4,Prince Edward Island,in-migration,360
2010,1,Prince Edward Island,in-migration,716
2010,2,Prince Edward Island,in-migration,811
2010,3,Prince Edward Island,in-migration,675
2010,4,Prince Edward Island,in-migration,434
2011,1,Prince Edward Island,in-migration,534
2011,2,Prince Edward Island,in-migration,851
2011,3,Prince Edward Island,in-migration,904
2011,4,Prince Edward Island,in-migration,468
2012,1,Prince Edward Island,in-migration,787
2012,2,Prince Edward Island,in-migration,770
2012,3,Prince Edward Island,in-migration,701
2012,4,Prince Edward Island,in-migration,336
2013,1,Prince Edward Island,in-migration,675
2013,2,Prince Edward Island,in-migration,1013
2013,3,Prince Edward Island,in-migration,695
2013,4,Prince Edward Island,in-migration,391
2014,1,Prince Edward Island,in-migration,478
2014,2,Prince Edward Island,in-migration,809
2014,3,Prince Edward Island,in-migration,558
2014,4,Prince Edward Island,in-migration,357
2015,1,Prince Edward Island,in-migration,694
2015,2,Prince Edward Island,in-migration,1077
2015,3,Prince Edward Island,in-migration,680
2015,4,Prince Edward Island,in-migration,492
2016,1,Prince Edward Island,in-migration,747
2016,2,Prince Edward Island,in-migration,1145
2016,3,Prince Edward Island,in-migration,767
2016,4,Prince Edward Island,in-migration,457
2017,1,Prince Edward Island,in-migration,941
2017,2,Prince Edward Island,in-migration,1485
1961,3,Nova Scotia,in-migration,7281
1961,4,Nova Scotia,in-migration,6012
1962,1,Nova Scotia,in-migration,3909
1962,2,Nova Scotia,in-migration,3715
1962,3,Nova Scotia,in-migration,7197
1962,4,Nova Scotia,in-migration,5870
1963,1,Nova Scotia,in-migration,3771
1963,2,Nova Scotia,in-migration,4015
1963,3,Nova Scotia,in-migration,7193
1963,4,Nova Scotia,in-migration,5913
1964,1,Nova Scotia,in-migration,3671
1964,2,Nova Scotia,in-migration,3840
1964,3,Nova Scotia,in-migration,6959
1964,4,Nova Scotia,in-migration,5764
1965,1,Nova Scotia,in-migration,3883
1965,2,Nova Scotia,in-migration,3748
1965,3,Nova Scotia,in-migration,6877
1965,4,Nova Scotia,in-migration,6829
1966,1,Nova Scotia,in-migration,4155
1966,2,Nova Scotia,in-migration,4087
1966,3,Nova Scotia,in-migration,8089
1966,4,Nova Scotia,in-migration,7050
1967,1,Nova Scotia,in-migration,4096
1967,2,Nova Scotia,in-migration,4499
1967,3,Nova Scotia,in-migration,8317
1967,4,Nova Scotia,in-migration,7675
1968,1,Nova Scotia,in-migration,3834
1968,2,Nova Scotia,in-migration,4388
1968,3,Nova Scotia,in-migration,6817
1968,4,Nova Scotia,in-migration,7860
1969,1,Nova Scotia,in-migration,4472
1969,2,Nova Scotia,in-migration,3742
1969,3,Nova Scotia,in-migration,7078
1969,4,Nova Scotia,in-migration,7297
1970,1,Nova Scotia,in-migration,4203
1970,2,Nova Scotia,in-migration,4354
1970,3,Nova Scotia,in-migration,6116
1970,4,Nova Scotia,in-migration,7535
1971,1,Nova Scotia,in-migration,4395
1971,2,Nova Scotia,in-migration,3483
1971,3,Nova Scotia,in-migration,7847
1971,4,Nova Scotia,in-migration,7461
1972,1,Nova Scotia,in-migration,3603
1972,2,Nova Scotia,in-migration,3800
1972,3,Nova Scotia,in-migration,8070
1972,4,Nova Scotia,in-migration,7222
1973,1,Nova Scotia,in-migration,4622
1973,2,Nova Scotia,in-migration,5311
1973,3,Nova Scotia,in-migration,7861
1973,4,Nova Scotia,in-migration,8458
1974,1,Nova Scotia,in-migration,4911
1974,2,Nova Scotia,in-migration,5015
1974,3,Nova Scotia,in-migration,9257
1974,4,Nova Scotia,in-migration,7992
1975,1,Nova Scotia,in-migration,5286
1975,2,Nova Scotia,in-migration,4247
1975,3,Nova Scotia,in-migration,8800
1975,4,Nova Scotia,in-migration,7234
1976,1,Nova Scotia,in-migration,4428
1976,2,Nova Scotia,in-migration,4050
1976,3,Nova Scotia,in-migration,9121
1976,4,Nova Scotia,in-migration,4287
1977,1,Nova Scotia,in-migration,3298
1977,2,Nova Scotia,in-migration,4143
1977,3,Nova Scotia,in-migration,8697
1977,4,Nova Scotia,in-migration,4124
1978,1,Nova Scotia,in-migration,3168
1978,2,Nova Scotia,in-migration,4066
1978,3,Nova Scotia,in-migration,8662
1978,4,Nova Scotia,in-migration,4096
1979,1,Nova Scotia,in-migration,3159
1979,2,Nova Scotia,in-migration,3988
1979,3,Nova Scotia,in-migration,7683
1979,4,Nova Scotia,in-migration,3639
1980,1,Nova Scotia,in-migration,2813
1980,2,Nova Scotia,in-migration,3547
1980,3,Nova Scotia,in-migration,8131
1980,4,Nova Scotia,in-migration,3861
1981,1,Nova Scotia,in-migration,2991
1981,2,Nova Scotia,in-migration,3754
1981,3,Nova Scotia,in-migration,8285
1981,4,Nova Scotia,in-migration,3803
1982,1,Nova Scotia,in-migration,2773
1982,2,Nova Scotia,in-migration,4038
1982,3,Nova Scotia,in-migration,7818
1982,4,Nova Scotia,in-migration,3811
1983,1,Nova Scotia,in-migration,3108
1983,2,Nova Scotia,in-migration,4429
1983,3,Nova Scotia,in-migration,7923
1983,4,Nova Scotia,in-migration,3823
1984,1,Nova Scotia,in-migration,3114
1984,2,Nova Scotia,in-migration,3164
1984,3,Nova Scotia,in-migration,7926
1984,4,Nova Scotia,in-migration,3618
1985,1,Nova Scotia,in-migration,2811
1985,2,Nova Scotia,in-migration,2898
1985,3,Nova Scotia,in-migration,7146
1985,4,Nova Scotia,in-migration,3320
1986,1,Nova Scotia,in-migration,2552
1986,2,Nova Scotia,in-migration,3467
1986,3,Nova Scotia,in-migration,7358
1986,4,Nova Scotia,in-migration,2967
1987,1,Nova Scotia,in-migration,2181
1987,2,Nova Scotia,in-migration,4220
1987,3,Nova Scotia,in-migration,7611
1987,4,Nova Scotia,in-migration,3387
1988,1,Nova Scotia,in-migration,2780
1988,2,Nova Scotia,in-migration,4188
1988,3,Nova Scotia,in-migration,8569
1988,4,Nova Scotia,in-migration,3463
1989,1,Nova Scotia,in-migration,2498
1989,2,Nova Scotia,in-migration,4679
1989,3,Nova Scotia,in-migration,9288
1989,4,Nova Scotia,in-migration,3792
1990,1,Nova Scotia,in-migration,2738
1990,2,Nova Scotia,in-migration,4986
1990,3,Nova Scotia,in-migration,7655
1990,4,Nova Scotia,in-migration,3418
1991,1,Nova Scotia,in-migration,2339
1991,2,Nova Scotia,in-migration,4907
1991,3,Nova Scotia,in-migration,8290
1991,4,Nova Scotia,in-migration,3230
1992,1,Nova Scotia,in-migration,2353
1992,2,Nova Scotia,in-migration,4488
1992,3,Nova Scotia,in-migration,8121
1992,4,Nova Scotia,in-migration,3182
1993,1,Nova Scotia,in-migration,2293
1993,2,Nova Scotia,in-migration,4111
1993,3,Nova Scotia,in-migration,6404
1993,4,Nova Scotia,in-migration,2704
1994,1,Nova Scotia,in-migration,2287
1994,2,Nova Scotia,in-migration,3864
1994,3,Nova Scotia,in-migration,6070
1994,4,Nova Scotia,in-migration,2903
1995,1,Nova Scotia,in-migration,2537
1995,2,Nova Scotia,in-migration,3789
1995,3,Nova Scotia,in-migration,6014
1995,4,Nova Scotia,in-migration,3063
1996,1,Nova Scotia,in-migration,2721
1996,2,Nova Scotia,in-migration,4465
1996,3,Nova Scotia,in-migration,5835
1996,4,Nova Scotia,in-migration,3012
1997,1,Nova Scotia,in-migration,2742
1997,2,Nova Scotia,in-migration,4289
1997,3,Nova Scotia,in-migration,6130
1997,4,Nova Scotia,in-migration,2680
1998,1,Nova Scotia,in-migration,2937
1998,2,Nova Scotia,in-migration,4557
1998,3,Nova Scotia,in-migration,4892
1998,4,Nova Scotia,in-migration,2811
1999,1,Nova Scotia,in-migration,2969
1999,2,Nova Scotia,in-migration,4857
1999,3,Nova Scotia,in-migration,5290
1999,4,Nova Scotia,in-migration,2901
2000,1,Nova Scotia,in-migration,3675
2000,2,Nova Scotia,in-migration,4406
2000,3,Nova Scotia,in-migration,5967
2000,4,Nova Scotia,in-migration,2495
2001,1,Nova Scotia,in-migration,3117
2001,2,Nova Scotia,in-migration,3734
2001,3,Nova Scotia,in-migration,5261
2001,4,Nova Scotia,in-migration,2912
2002,1,Nova Scotia,in-migration,3350
2002,2,Nova Scotia,in-migration,4808
2002,3,Nova Scotia,in-migration,5488
2002,4,Nova Scotia,in-migration,2391
2003,1,Nova Scotia,in-migration,3232
2003,2,Nova Scotia,in-migration,5575
2003,3,Nova Scotia,in-migration,5147
2003,4,Nova Scotia,in-migration,2538
2004,1,Nova Scotia,in-migration,2832
2004,2,Nova Scotia,in-migration,4570
