Ref_Date,GEO,INT,Vector,Coordinate,Value
1997/09,Canada,In-migrants,v509037,1.1,102106
1997/12,Canada,In-migrants,v509037,1.1,48486
1998/03,Canada,In-migrants,v509037,1.1,68202
1998/06,Canada,In-migrants,v509037,1.1,90440
1998/09,Canada,In-migrants,v509037,1.1,88484
1998/12,Canada,In-migrants,v509037,1.1,51038
1999/03,Canada,In-migrants,v509037,1.1,56574
1999/06,Canada,In-migrants,v509037,1.1,80834
1999/09,Canada,In-migrants,v509037,1.1,91042
1999/12,Canada,In-migrants,v509037,1.1,48039
2000/03,Canada,In-migrants,v509037,1.1,65466
2000/06,Canada,In-migrants,v509037,1.1,81270
2000/09,Canada,In-migrants,v509037,1.1,92417
2000/12,Canada,In-migrants,v509037,1.1,51352
2001/03,Canada,In-migrants,v509037,1.1,54601
2001/06,Canada,In-migrants,v509037,1.1,70850
2001/09,Canada,In-migrants,v509037,1.1,94298
2001/12,Canada,In-migrants,v509037,1.1,50973
2002/03,Canada,In-migrants,v509037,1.1,58756
2002/06,Canada,In-migrants,v509037,1.1,86463
2002/09,Canada,In-migrants,v509037,1.1,90872
2002/12,Canada,In-migrants,v509037,1.1,47994
2003/03,Canada,In-migrants,v509037,1.1,54000
2003/06,Canada,In-migrants,v509037,1.1,82033
2003/09,Canada,In-migrants,v509037,1.1,82360
2003/12,Canada,In-migrants,v509037,1.1,44648
2004/03,Canada,In-migrants,v509037,1.1,56219
2004/06,Canada,In-migrants,v509037,1.1,78153
2004/09,Canada,In-migrants,v509037,1.1,82279
2004/12,Canada,In-migrants,v509037,1.1,53280
2005/03,Canada,In-migrants,v509037,1.1,60810
2005/06,Canada,In-migrants,v509037,1.1,89175
2005/09,Canada,In-migrants,v509037,1.1,88918
2005/12,Canada,In-migrants,v509037,1.1,53020
2006/03,Canada,In-migrants,v509037,1.1,66297
2006/06,Canada,In-migrants,v509037,1.1,77633
2006/09,Canada,In-migrants,v509037,1.1,103539
2006/12,Canada,In-migrants,v509037,1.1,62974
2007/03,Canada,In-migrants,v509037,1.1,60920
2007/06,Canada,In-migrants,v509037,1.1,77629
2007/09,Canada,In-migrants,v509037,1.1,99163
2007/12,Canada,In-migrants,v509037,1.1,55440
2008/03,Canada,In-migrants,v509037,1.1,63981
2008/06,Canada,In-migrants,v509037,1.1,82653
2008/09,Canada,In-migrants,v509037,1.1,90957
2008/12,Canada,In-migrants,v509037,1.1,51448
2009/03,Canada,In-migrants,v509037,1.1,64164
2009/06,Canada,In-migrants,v509037,1.1,71277
2009/09,Canada,In-migrants,v509037,1.1,77224
2009/12,Canada,In-migrants,v509037,1.1,44902
2010/03,Canada,In-migrants,v509037,1.1,62564
2010/06,Canada,In-migrants,v509037,1.1,74544
2010/09,Canada,In-migrants,v509037,1.1,76021
2010/12,Canada,In-migrants,v509037,1.1,50002
2011/03,Canada,In-migrants,v509037,1.1,58571
2011/06,Canada,In-migrants,v509037,1.1,72491
2011/09,Canada,In-migrants,v509037,1.1,89862
2011/12,Canada,In-migrants,v509037,1.1,55322
2012/03,Canada,In-migrants,v509037,1.1,69238
2012/06,Canada,In-migrants,v509037,1.1,90003
2012/09,Canada,In-migrants,v509037,1.1,85820
2012/12,Canada,In-migrants,v509037,1.1,47531
2013/03,Canada,In-migrants,v509037,1.1,62699
2013/06,Canada,In-migrants,v509037,1.1,96253
2013/09,Canada,In-migrants,v509037,1.1,81855
2013/12,Canada,In-migrants,v509037,1.1,52761
2014/03,Canada,In-migrants,v509037,1.1,67097
2014/06,Canada,In-migrants,v509037,1.1,102756
2014/09,Canada,In-migrants,v509037,1.1,79966
2014/12,Canada,In-migrants,v509037,1.1,51170
2015/03,Canada,In-migrants,v509037,1.1,74452
2015/06,Canada,In-migrants,v509037,1.1,108765
2015/09,Canada,In-migrants,v509037,1.1,87901
2015/12,Canada,In-migrants,v509037,1.1,47708
2016/03,Canada,In-migrants,v509037,1.1,70384
2016/06,Canada,In-migrants,v509037,1.1,98130
2016/09,Canada,In-migrants,v509037,1.1,92800
2016/12,Canada,In-migrants,v509037,1.1,47366
2017/03,Canada,In-migrants,v509037,1.1,73668
2017/06,Canada,In-migrants,v509037,1.1,105518
1961/09,Canada,Out-migrants,v509052,1.2,95570
1961/12,Canada,Out-migrants,v509052,1.2,86590
1962/03,Canada,Out-migrants,v509052,1.2,60693
1962/06,Canada,Out-migrants,v509052,1.2,59098
1962/09,Canada,Out-migrants,v509052,1.2,99614
1962/12,Canada,Out-migrants,v509052,1.2,98271
1963/03,Canada,Out-migrants,v509052,1.2,59716
1963/06,Canada,Out-migrants,v509052,1.2,65918
1963/09,Canada,Out-migrants,v509052,1.2,106090
1963/12,Canada,Out-migrants,v509052,1.2,95012
1964/03,Canada,Out-migrants,v509052,1.2,63652
1964/06,Canada,Out-migrants,v509052,1.2,63155
1964/09,Canada,Out-migrants,v509052,1.2,111505
1964/12,Canada,Out-migrants,v509052,1.2,99486
1965/03,Canada,Out-migrants,v509052,1.2,73576
1965/06,Canada,Out-migrants,v509052,1.2,67225
1965/09,Canada,Out-migrants,v509052,1.2,119748
1965/12,Canada,Out-migrants,v509052,1.2,119031
1966/03,Canada,Out-migrants,v509052,1.2,75404
1966/06,Canada,Out-migrants,v509052,1.2,72355
1966/09,Canada,Out-migrants,v509052,1.2,134900
1966/12,Canada,Out-migrants,v509052,1.2,125910
1967/03,Canada,Out-migrants,v509052,1.2,72315
1967/06,Canada,Out-migrants,v509052,1.2,72313
1967/09,Canada,Out-migrants,v509052,1.2,122815
1967/12,Canada,Out-migrants,v509052,1.2,117604
1968/03,Canada,Out-migrants,v509052,1.2,70473
1968/06,Canada,Out-migrants,v509052,1.2,71092
1968/09,Canada,Out-migrants,v509052,1.2,93378
1968/12,Canada,Out-migrants,v509052,1.2,126460
1969/03,Canada,Out-migrants,v509052,1.2,73010
1969/06,Canada,Out-migrants,v509052,1.2,71408
1969/09,Canada,Out-migrants,v509052,1.2,117787
1969/12,Canada,Out-migrants,v509052,1.2,129449
1970/03,Canada,Out-migrants,v509052,1.2,90827
1970/06,Canada,Out-migrants,v509052,1.2,75508
1970/09,Canada,Out-migrants,v509052,1.2,101610
1970/12,Canada,Out-migrants,v509052,1.2,144614
1971/03,Canada,Out-migrants,v509052,1.2,85045
1971/06,Canada,Out-migrants,v509052,1.2,71661
1971/09,Canada,Out-migrants,v509052,1.2,129047
1971/12,Canada,Out-migrants,v509052,1.2,119546
1972/03,Canada,Out-migrants,v509052,1.2,75510
1972/06,Canada,Out-migrants,v509052,1.2,71329
1972/09,Canada,Out-migrants,v509052,1.2,118236
1972/12,Canada,Out-migrants,v509052,1.2,110109
1973/03,Canada,Out-migrants,v509052,1.2,87092
1973/06,Canada,Out-migrants,v509052,1.2,80701
1973/09,Canada,Out-migrants,v509052,1.2,131102
1973/12,Canada,Out-migrants,v509052,1.2,135097
1974/03,Canada,Out-migrants,v509052,1.2,87587
1974/06,Canada,Out-migrants,v509052,1.2,83763
1974/09,Canada,Out-migrants,v509052,1.2,130185
1974/12,Canada,Out-migrants,v509052,1.2,119801
1975/03,Canada,Out-migrants,v509052,1.2,90332
1975/06,Canada,Out-migrants,v509052,1.2,71391
1975/09,Canada,Out-migrants,v509052,1.2,116408
1975/12,Canada,Out-migrants,v509052,1.2,107199
1976/03,Canada,Out-migrants,v509052,1.2,77438
1976/06,Canada,Out-migrants,v509052,1.2,74306
1976/09,Canada,Out-migrants,v509052,1.2,139499
1976/12,Canada,Out-migrants,v509052,1.2,75039
1977/03,Canada,Out-migrants,v509052,1.2,63347
1977/06,Canada,Out-migrants,v509052,1.2,79504
1977/09,Canada,Out-migrants,v509052,1.2,142032
1977/12,Canada,Out-migrants,v509052,1.2,76881
1978/03,Canada,Out-migrants,v509052,1.2,64467
1978/06,Canada,Out-migrants,v509052,1.2,81041
1978/09,Canada,Out-migrants,v509052,1.2,139861
1978/12,Canada,Out-migrants,v509052,1.2,75540
1979/03,Canada,Out-migrants,v509052,1.2,63505
1979/06,Canada,Out-migrants,v509052,1.2,79899
1979/09,Canada,Out-migrants,v509052,1.2,144951
1979/12,Canada,Out-migrants,v509052,1.2,78273
1980/03,Canada,Out-migrants,v509052,1.2,65511
1980/06,Canada,Out-migrants,v509052,1.2,82653
1980/09,Canada,Out-migrants,v509052,1.2,149590
1980/12,Canada,Out-migrants,v509052,1.2,80720
1981/03,Canada,Out-migrants,v509052,1.2,67484
1981/06,Canada,Out-migrants,v509052,1.2,85138
1981/09,Canada,Out-migrants,v509052,1.2,136624
1981/12,Canada,Out-migrants,v509052,1.2,78108
1982/03,Canada,Out-migrants,v509052,1.2,64984
1982/06,Canada,Out-migrants,v509052,1.2,78203
1982/09,Canada,Out-migrants,v509052,1.2,117162
1982/12,Canada,Out-migrants,v509052,1.2,62799
1983/03,Canada,Out-migrants,v509052,1.2,53873
1983/06,Canada,Out-migrants,v509052,1.2,71652
1983/09,Canada,Out-migrants,v509052,1.2,107663
1983/12,Canada,Out-migrants,v509052,1.2,58127
1984/03,Canada,Out-migrants,v509052,1.2,50392
1984/06,Canada,Out-migrants,v509052,1.2,63190
1984/09,Canada,Out-migrants,v509052,1.2,103696
1984/12,Canada,Out-migrants,v509052,1.2,58431
1985/03,Canada,Out-migrants,v509052,1.2,46362
1985/06,Canada,Out-migrants,v509052,1.2,62076
1985/09,Canada,Out-migrants,v509052,1.2,108272
1985/12,Canada,Out-migrants,v509052,1.2,62251
1986/03,Canada,Out-migrants,v509052,1.2,49391
1986/06,Canada,Out-migrants,v509052,1.2,67346
1986/09,Canada,Out-migrants,v509052,1.2,117961
1986/12,Canada,Out-migrants,v509052,1.2,64988
1987/03,Canada,Out-migrants,v509052,1.2,50703
1987/06,Canada,Out-migrants,v509052,1.2,68950
1987/09,Canada,Out-migrants,v509052,1.2,126383
1987/12,Canada,Out-migrants,v509052,1.2,71914
1988/03,Canada,Out-migrants,v509052,1.2,53057
1988/06,Canada,Out-migrants,v509052,1.2,71021
1988/09,Canada,Out-migrants,v509052,1.2,127126
1988/12,Canada,Out-migrants,v509052,1.2,72468
1989/03,Canada,Out-migrants,v509052,1.2,54628
1989/06,Canada,Out-migrants,v509052,1.2,73478
1989/09,Canada,Out-migrants,v509052,1.2,136285
1989/12,Canada,Out-migrants,v509052,1.2,77570
1990/03,Canada,Out-migrants,v509052,1.2,58827
1990/06,Canada,Out-migrants,v509052,1.2,84125
1990/09,Canada,Out-migrants,v509052,1.2,128854
1990/12,Canada,Out-migrants,v509052,1.2,61124
1991/03,Canada,Out-migrants,v509052,1.2,48515
1991/06,Canada,Out-migrants,v509052,1.2,78074
1991/09,Canada,Out-migrants,v509052,1.2,125577
1991/12,Canada,Out-migrants,v509052,1.2,61363
1992/03,Canada,Out-migrants,v509052,1.2,51278
1992/06,Canada,Out-migrants,v509052,1.2,78441
1992/09,Canada,Out-migrants,v509052,1.2,120906
1992/12,Canada,Out-migrants,v509052,1.2,59055
1993/03,Canada,Out-migrants,v509052,1.2,49409
1993/06,Canada,Out-migrants,v509052,1.2,73924
1993/09,Canada,Out-migrants,v509052,1.2,106210
1993/12,Canada,Out-migrants,v509052,1.2,54194
1994/03,Canada,Out-migrants,v509052,1.2,51272
1994/06,Canada,Out-migrants,v509052,1.2,77715
1994/09,Canada,Out-migrants,v509052,1.2,100326
1994/12,Canada,Out-migrants,v509052,1.2,57547
1995/03,Canada,Out-migrants,v509052,1.2,53613
1995/06,Canada,Out-migrants,v509052,1.2,73978
1995/09,Canada,Out-migrants,v509052,1.2,98624
1995/12,Canada,Out-migrants,v509052,1.2,60528
1996/03,Canada,Out-migrants,v509052,1.2,56081
1996/06,Canada,Out-migrants,v509052,1.2,76531
1996/09,Canada,Out-migrants,v509052,1.2,97351
1996/12,Canada,Out-migrants,v509052,1.2,54526
1997/03,Canada,Out-migrants,v509052,1.2,59997
1997/06,Canada,Out-migrants,v509052,1.2,80999
1997/09,Canada,Out-migrants,v509052,1.2,102106
1997/12,Canada,Out-migrants,v509052,1.2,48486
1998/03,Canada,Out-migrants,v509052,1.2,68202
1998/06,Canada,Out-migrants,v509052,1.2,90440
1998/09,Canada,Out-migrants,v509052,1.2,88484
1998/12,Canada,Out-migrants,v509052,1.2,51038
1999/03,Canada,Out-migrants,v509052,1.2,56574
1999/06,Canada,Out-migrants,v509052,1.2,80834
1999/09,Canada,Out-migrants,v509052,1.2,91042
1999/12,Canada,Out-migrants,v509052,1.2,48039
2000/03,Canada,Out-migrants,v509052,1.2,65466
2000/06,Canada,Out-migrants,v509052,1.2,81270
2000/09,Canada,Out-migrants,v509052,1.2,92417
2000/12,Canada,Out-migrants,v509052,1.2,51352
2001/03,Canada,Out-migrants,v509052,1.2,54601
2001/06,Canada,Out-migrants,v509052,1.2,70850
2001/09,Canada,Out-migrants,v509052,1.2,94298
2001/12,Canada,Out-migrants,v509052,1.2,50973
2002/03,Canada,Out-migrants,v509052,1.2,58756
2002/06,Canada,Out-migrants,v509052,1.2,86463
2002/09,Canada,Out-migrants,v509052,1.2,90872
2002/12,Canada,Out-migrants,v509052,1.2,47994
2003/03,Canada,Out-migrants,v509052,1.2,54000
2003/06,Canada,Out-migrants,v509052,1.2,82033
2003/09,Canada,Out-migrants,v509052,1.2,82360
2003/12,Canada,Out-migrants,v509052,1.2,44648
2004/03,Canada,Out-migrants,v509052,1.2,56219
2004/06,Canada,Out-migrants,v509052,1.2,78153
2004/09,Canada,Out-migrants,v509052,1.2,82279
2004/12,Canada,Out-migrants,v509052,1.2,53280
2005/03,Canada,Out-migrants,v509052,1.2,60810
2005/06,Canada,Out-migrants,v509052,1.2,89175
2005/09,Canada,Out-migrants,v509052,1.2,88918
2005/12,Canada,Out-migrants,v509052,1.2,53020
2006/03,Canada,Out-migrants,v509052,1.2,66297
2006/06,Canada,Out-migrants,v509052,1.2,77633
2006/09,Canada,Out-migrants,v509052,1.2,103539
2006/12,Canada,Out-migrants,v509052,1.2,62974
2007/03,Canada,Out-migrants,v509052,1.2,60920
2007/06,Canada,Out-migrants,v509052,1.2,77629
2007/09,Canada,Out-migrants,v509052,1.2,99163
2007/12,Canada,Out-migrants,v509052,1.2,55440
2008/03,Canada,Out-migrants,v509052,1.2,63981
2008/06,Canada,Out-migrants,v509052,1.2,82653
2008/09,Canada,Out-migrants,v509052,1.2,90957
2008/12,Canada,Out-migrants,v509052,1.2,51448
2009/03,Canada,Out-migrants,v509052,1.2,64164
2009/06,Canada,Out-migrants,v509052,1.2,71277
2009/09,Canada,Out-migrants,v509052,1.2,77224
2009/12,Canada,Out-migrants,v509052,1.2,44902
2010/03,Canada,Out-migrants,v509052,1.2,62564
2010/06,Canada,Out-migrants,v509052,1.2,74544
2010/09,Canada,Out-migrants,v509052,1.2,76021
2010/12,Canada,Out-migrants,v509052,1.2,50002
2011/03,Canada,Out-migrants,v509052,1.2,58571
2011/06,Canada,Out-migrants,v509052,1.2,72491
2011/09,Canada,Out-migrants,v509052,1.2,89862
2011/12,Canada,Out-migrants,v509052,1.2,55322
2012/03,Canada,Out-migrants,v509052,1.2,69238
2012/06,Canada,Out-migrants,v509052,1.2,90003
2012/09,Canada,Out-migrants,v509052,1.2,85820
2012/12,Canada,Out-migrants,v509052,1.2,47531
2013/03,Canada,Out-migrants,v509052,1.2,62699
2013/06,Canada,Out-migrants,v509052,1.2,96253
2013/09,Canada,Out-migrants,v509052,1.2,81855
2013/12,Canada,Out-migrants,v509052,1.2,52761
2014/03,Canada,Out-migrants,v509052,1.2,67097
2014/06,Canada,Out-migrants,v509052,1.2,102756
2014/09,Canada,Out-migrants,v509052,1.2,79966
2014/12,Canada,Out-migrants,v509052,1.2,51170
2015/03,Canada,Out-migrants,v509052,1.2,74452
2015/06,Canada,Out-migrants,v509052,1.2,108765
2015/09,Canada,Out-migrants,v509052,1.2,87901
2015/12,Canada,Out-migrants,v509052,1.2,47708
2016/03,Canada,Out-migrants,v509052,1.2,70384
2016/06,Canada,Out-migrants,v509052,1.2,98130
2016/09,Canada,Out-migrants,v509052,1.2,92800
2016/12,Canada,Out-migrants,v509052,1.2,47366
2017/03,Canada,Out-migrants,v509052,1.2,73668
2017/06,Canada,Out-migrants,v509052,1.2,105518
1961/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2189
1961/12,Newfoundland and Labrador,In-migrants,v509038,2.1,1559
1962/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1015
1962/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1015
1962/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2036
1962/12,Newfoundland and Labrador,In-migrants,v509038,2.1,1816
1963/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1075
1963/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1268
1963/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2583
1963/12,Newfoundland and Labrador,In-migrants,v509038,2.1,1691
1964/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1218
1964/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1238
1964/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2202
1964/12,Newfoundland and Labrador,In-migrants,v509038,2.1,1732
1965/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1295
1965/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1342
1965/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2631
1965/12,Newfoundland and Labrador,In-migrants,v509038,2.1,2207
1966/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1467
1966/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1420
1966/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2939
1966/12,Newfoundland and Labrador,In-migrants,v509038,2.1,2342
1967/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1624
1967/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1590
1967/09,Newfoundland and Labrador,In-migrants,v509038,2.1,3022
1967/12,Newfoundland and Labrador,In-migrants,v509038,2.1,2740
1968/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1910
1968/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1776
1968/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2325
1968/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3136
1969/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1916
1969/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1374
1969/09,Newfoundland and Labrador,In-migrants,v509038,2.1,2119
1969/12,Newfoundland and Labrador,In-migrants,v509038,2.1,2234
1970/03,Newfoundland and Labrador,In-migrants,v509038,2.1,1674
1970/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1741
1970/09,Newfoundland and Labrador,In-migrants,v509038,2.1,1924
1970/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3178
1971/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2250
1971/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1904
1971/09,Newfoundland and Labrador,In-migrants,v509038,2.1,4377
1971/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3828
1972/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2243
1972/06,Newfoundland and Labrador,In-migrants,v509038,2.1,1943
1972/09,Newfoundland and Labrador,In-migrants,v509038,2.1,3785
1972/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3209
1973/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2318
1973/06,Newfoundland and Labrador,In-migrants,v509038,2.1,2510
1973/09,Newfoundland and Labrador,In-migrants,v509038,2.1,3922
1973/12,Newfoundland and Labrador,In-migrants,v509038,2.1,4261
1974/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2345
1974/06,Newfoundland and Labrador,In-migrants,v509038,2.1,2605
1974/09,Newfoundland and Labrador,In-migrants,v509038,2.1,3823
1974/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3605
1975/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2476
1975/06,Newfoundland and Labrador,In-migrants,v509038,2.1,2429
1975/09,Newfoundland and Labrador,In-migrants,v509038,2.1,4185
1975/12,Newfoundland and Labrador,In-migrants,v509038,2.1,3259
1976/03,Newfoundland and Labrador,In-migrants,v509038,2.1,2124
1976/06,Newfoundland and Labrador,In-migrants,v509038,2.1,2131
1976/09,Newfoundland and Labrador,In-migrants,v509038,2.1,3570
