"country1","country2","year","exports"
"Dominican Republic","Turkey",1900,NA
"Dominican Republic","China",1900,NA
"Dominican Republic","Korea",1900,NA
"Dominican Republic","Japan",1900,NA
"Dominican Republic","Thailand",1900,NA
"Mexico","United States of America",1900,28.85
"Mexico","Haiti",1900,NA
"Mexico","Dominican Republic",1900,NA
"Mexico","Guatemala",1900,NA
"Mexico","Honduras",1900,NA
"Mexico","El Salvador",1900,NA
"Mexico","Nicaragua",1900,NA
"Mexico","Colombia",1900,NA
"Mexico","Venezuela",1900,NA
"Mexico","Ecuador",1900,NA
"Mexico","Peru",1900,NA
"Mexico","Brazil",1900,NA
"Mexico","Bolivia",1900,NA
"Mexico","Paraguay",1900,NA
"Mexico","Chile",1900,NA
"Mexico","Argentina",1900,NA
"Mexico","Uruguay",1900,NA
"Mexico","United Kingdom",1900,2.27
"Mexico","Netherlands",1900,NA
"Mexico","Belgium",1900,NA
"Mexico","France",1900,1.34
"Mexico","Switzerland",1900,NA
"Mexico","Spain",1900,0.56
"Mexico","Portugal",1900,NA
"Mexico","Germany",1900,2.39
"Mexico","Austria-Hungary",1900,NA
"Mexico","Italy",1900,NA
"Mexico","Yugoslavia",1900,NA
"Mexico","Greece",1900,NA
"Mexico","Romania",1900,NA
"Mexico","Russia",1900,NA
"Mexico","Sweden",1900,NA
"Mexico","Denmark",1900,NA
"Mexico","Ethiopia",1900,NA
"Mexico","Morocco",1900,NA
"Mexico","Iran",1900,NA
"Mexico","Turkey",1900,NA
"Mexico","China",1900,NA
"Mexico","Korea",1900,NA
"Mexico","Japan",1900,NA
"Mexico","Thailand",1900,NA
"Guatemala","United States of America",1900,NA
"Guatemala","Haiti",1900,NA
"Guatemala","Dominican Republic",1900,NA
"Guatemala","Mexico",1900,NA
"Guatemala","Honduras",1900,NA
"Guatemala","El Salvador",1900,NA
"Guatemala","Nicaragua",1900,NA
"Guatemala","Colombia",1900,NA
"Guatemala","Venezuela",1900,NA
"Guatemala","Ecuador",1900,NA
"Guatemala","Peru",1900,NA
"Guatemala","Brazil",1900,NA
"Guatemala","Bolivia",1900,NA
"Guatemala","Paraguay",1900,NA
"Guatemala","Chile",1900,NA
"Guatemala","Argentina",1900,NA
"Guatemala","Uruguay",1900,NA
"Guatemala","United Kingdom",1900,NA
"Guatemala","Netherlands",1900,NA
"Guatemala","Belgium",1900,NA
"Guatemala","France",1900,NA
"Guatemala","Switzerland",1900,NA
"Guatemala","Spain",1900,NA
"Guatemala","Portugal",1900,NA
"Guatemala","Germany",1900,NA
"Guatemala","Austria-Hungary",1900,NA
"Guatemala","Italy",1900,NA
"Guatemala","Yugoslavia",1900,NA
"Guatemala","Greece",1900,NA
"Guatemala","Romania",1900,NA
"Guatemala","Russia",1900,NA
"Guatemala","Sweden",1900,NA
"Guatemala","Denmark",1900,NA
"Guatemala","Ethiopia",1900,NA
"Guatemala","Morocco",1900,NA
"Guatemala","Iran",1900,NA
"Guatemala","Turkey",1900,NA
"Guatemala","China",1900,NA
"Guatemala","Korea",1900,NA
"Guatemala","Japan",1900,NA
"Guatemala","Thailand",1900,NA
"Honduras","United States of America",1900,NA
"Honduras","Haiti",1900,NA
"Honduras","Dominican Republic",1900,NA
"Honduras","Mexico",1900,NA
"Honduras","Guatemala",1900,NA
"Honduras","El Salvador",1900,NA
"Honduras","Nicaragua",1900,NA
"Honduras","Colombia",1900,NA
"Honduras","Venezuela",1900,NA
"Honduras","Ecuador",1900,NA
"Honduras","Peru",1900,NA
"Honduras","Brazil",1900,NA
"Honduras","Bolivia",1900,NA
"Honduras","Paraguay",1900,NA
"Honduras","Chile",1900,NA
"Honduras","Argentina",1900,NA
"Honduras","Uruguay",1900,NA
"Honduras","United Kingdom",1900,NA
"Honduras","Netherlands",1900,NA
"Honduras","Belgium",1900,NA
"Honduras","France",1900,NA
"Honduras","Switzerland",1900,NA
"Honduras","Spain",1900,NA
"Honduras","Portugal",1900,NA
"Honduras","Germany",1900,NA
"Honduras","Austria-Hungary",1900,NA
"Honduras","Italy",1900,NA
"Honduras","Yugoslavia",1900,NA
"Honduras","Greece",1900,NA
"Honduras","Romania",1900,NA
"Honduras","Russia",1900,NA
"Honduras","Sweden",1900,NA
"Honduras","Denmark",1900,NA
"Honduras","Ethiopia",1900,NA
"Honduras","Morocco",1900,NA
"Honduras","Iran",1900,NA
"Honduras","Turkey",1900,NA
"Honduras","China",1900,NA
"Honduras","Korea",1900,NA
"Honduras","Japan",1900,NA
"Honduras","Thailand",1900,NA
"El Salvador","United States of America",1900,NA
"El Salvador","Haiti",1900,NA
"El Salvador","Dominican Republic",1900,NA
"El Salvador","Mexico",1900,NA
"El Salvador","Guatemala",1900,NA
"El Salvador","Honduras",1900,NA
"El Salvador","Nicaragua",1900,NA
"El Salvador","Colombia",1900,NA
"El Salvador","Venezuela",1900,NA
"El Salvador","Ecuador",1900,NA
"El Salvador","Peru",1900,NA
"El Salvador","Brazil",1900,NA
"El Salvador","Bolivia",1900,NA
"El Salvador","Paraguay",1900,NA
"El Salvador","Chile",1900,NA
"El Salvador","Argentina",1900,NA
"El Salvador","Uruguay",1900,NA
"El Salvador","United Kingdom",1900,NA
"El Salvador","Netherlands",1900,NA
"El Salvador","Belgium",1900,NA
"El Salvador","France",1900,NA
"El Salvador","Switzerland",1900,NA
"El Salvador","Spain",1900,NA
"El Salvador","Portugal",1900,NA
"El Salvador","Germany",1900,NA
"El Salvador","Austria-Hungary",1900,NA
"El Salvador","Italy",1900,NA
"El Salvador","Yugoslavia",1900,NA
"El Salvador","Greece",1900,NA
"El Salvador","Romania",1900,NA
"El Salvador","Russia",1900,NA
"El Salvador","Sweden",1900,NA
"El Salvador","Denmark",1900,NA
"El Salvador","Ethiopia",1900,NA
"El Salvador","Morocco",1900,NA
"El Salvador","Iran",1900,NA
"El Salvador","Turkey",1900,NA
"El Salvador","China",1900,NA
"El Salvador","Korea",1900,NA
"El Salvador","Japan",1900,NA
"El Salvador","Thailand",1900,NA
"Nicaragua","United States of America",1900,NA
"Nicaragua","Haiti",1900,NA
"Nicaragua","Dominican Republic",1900,NA
"Nicaragua","Mexico",1900,NA
"Nicaragua","Guatemala",1900,NA
"Nicaragua","Honduras",1900,NA
"Nicaragua","El Salvador",1900,NA
"Nicaragua","Colombia",1900,NA
"Nicaragua","Venezuela",1900,NA
"Nicaragua","Ecuador",1900,NA
"Nicaragua","Peru",1900,NA
"Nicaragua","Brazil",1900,NA
"Nicaragua","Bolivia",1900,NA
"Nicaragua","Paraguay",1900,NA
"Nicaragua","Chile",1900,NA
"Nicaragua","Argentina",1900,NA
"Nicaragua","Uruguay",1900,NA
"Nicaragua","United Kingdom",1900,NA
"Nicaragua","Netherlands",1900,NA
"Nicaragua","Belgium",1900,NA
"Nicaragua","France",1900,NA
"Nicaragua","Switzerland",1900,NA
"Nicaragua","Spain",1900,NA
"Nicaragua","Portugal",1900,NA
"Nicaragua","Germany",1900,NA
"Nicaragua","Austria-Hungary",1900,NA
"Nicaragua","Italy",1900,NA
"Nicaragua","Yugoslavia",1900,NA
"Nicaragua","Greece",1900,NA
"Nicaragua","Romania",1900,NA
"Nicaragua","Russia",1900,NA
"Nicaragua","Sweden",1900,NA
"Nicaragua","Denmark",1900,NA
"Nicaragua","Ethiopia",1900,NA
"Nicaragua","Morocco",1900,NA
"Nicaragua","Iran",1900,NA
"Nicaragua","Turkey",1900,NA
"Nicaragua","China",1900,NA
"Nicaragua","Korea",1900,NA
"Nicaragua","Japan",1900,NA
"Nicaragua","Thailand",1900,NA
"Colombia","United States of America",1900,3.23
"Colombia","Haiti",1900,NA
"Colombia","Dominican Republic",1900,NA
"Colombia","Mexico",1900,NA
"Colombia","Guatemala",1900,NA
"Colombia","Honduras",1900,NA
"Colombia","El Salvador",1900,NA
"Colombia","Nicaragua",1900,NA
"Colombia","Venezuela",1900,NA
"Colombia","Ecuador",1900,NA
"Colombia","Peru",1900,NA
"Colombia","Brazil",1900,NA
"Colombia","Bolivia",1900,NA
"Colombia","Paraguay",1900,NA
"Colombia","Chile",1900,NA
"Colombia","Argentina",1900,NA
"Colombia","Uruguay",1900,NA
"Colombia","United Kingdom",1900,1.36
"Colombia","Netherlands",1900,NA
"Colombia","Belgium",1900,NA
"Colombia","France",1900,NA
"Colombia","Switzerland",1900,NA
"Colombia","Spain",1900,NA
"Colombia","Portugal",1900,NA
"Colombia","Germany",1900,NA
"Colombia","Austria-Hungary",1900,NA
"Colombia","Italy",1900,NA
"Colombia","Yugoslavia",1900,NA
"Colombia","Greece",1900,NA
"Colombia","Romania",1900,NA
"Colombia","Russia",1900,NA
"Colombia","Sweden",1900,NA
"Colombia","Denmark",1900,NA
"Colombia","Ethiopia",1900,NA
"Colombia","Morocco",1900,NA
"Colombia","Iran",1900,NA
"Colombia","Turkey",1900,NA
"Colombia","China",1900,NA
"Colombia","Korea",1900,NA
"Colombia","Japan",1900,NA
"Colombia","Thailand",1900,NA
"Venezuela","United States of America",1900,6.64
"Venezuela","Haiti",1900,NA
"Venezuela","Dominican Republic",1900,NA
"Venezuela","Mexico",1900,NA
"Venezuela","Guatemala",1900,NA
"Venezuela","Honduras",1900,NA
"Venezuela","El Salvador",1900,NA
"Venezuela","Nicaragua",1900,NA
"Venezuela","Colombia",1900,NA
"Venezuela","Ecuador",1900,NA
"Venezuela","Peru",1900,NA
"Venezuela","Brazil",1900,NA
"Venezuela","Bolivia",1900,NA
"Venezuela","Paraguay",1900,NA
"Venezuela","Chile",1900,NA
"Venezuela","Argentina",1900,NA
"Venezuela","Uruguay",1900,NA
"Venezuela","United Kingdom",1900,0.59
"Venezuela","Netherlands",1900,NA
"Venezuela","Belgium",1900,NA
"Venezuela","France",1900,NA
"Venezuela","Switzerland",1900,NA
"Venezuela","Spain",1900,NA
"Venezuela","Portugal",1900,NA
"Venezuela","Germany",1900,NA
"Venezuela","Austria-Hungary",1900,NA
"Venezuela","Italy",1900,NA
"Venezuela","Yugoslavia",1900,NA
"Venezuela","Greece",1900,NA
"Venezuela","Romania",1900,NA
"Venezuela","Russia",1900,NA
"Venezuela","Sweden",1900,NA
"Venezuela","Denmark",1900,NA
"Venezuela","Ethiopia",1900,NA
"Venezuela","Morocco",1900,NA
"Venezuela","Iran",1900,NA
"Venezuela","Turkey",1900,NA
"Venezuela","China",1900,NA
"Venezuela","Korea",1900,NA
"Venezuela","Japan",1900,NA
"Venezuela","Thailand",1900,NA
"Ecuador","United States of America",1900,NA
"Ecuador","Haiti",1900,NA
"Ecuador","Dominican Republic",1900,NA
"Ecuador","Mexico",1900,NA
"Ecuador","Guatemala",1900,NA
"Ecuador","Honduras",1900,NA
"Ecuador","El Salvador",1900,NA
"Ecuador","Nicaragua",1900,NA
"Ecuador","Colombia",1900,NA
"Ecuador","Venezuela",1900,NA
"Ecuador","Peru",1900,0.02
"Ecuador","Brazil",1900,NA
"Ecuador","Bolivia",1900,NA
"Ecuador","Paraguay",1900,NA
"Ecuador","Chile",1900,NA
"Ecuador","Argentina",1900,NA
"Ecuador","Uruguay",1900,NA
"Ecuador","United Kingdom",1900,0.73
"Ecuador","Netherlands",1900,NA
"Ecuador","Belgium",1900,NA
"Ecuador","France",1900,NA
"Ecuador","Switzerland",1900,NA
"Ecuador","Spain",1900,NA
"Ecuador","Portugal",1900,NA
"Ecuador","Germany",1900,NA
"Ecuador","Austria-Hungary",1900,NA
"Ecuador","Italy",1900,NA
"Ecuador","Yugoslavia",1900,NA
"Ecuador","Greece",1900,NA
"Ecuador","Romania",1900,NA
"Ecuador","Russia",1900,NA
"Ecuador","Sweden",1900,NA
"Ecuador","Denmark",1900,NA
"Ecuador","Ethiopia",1900,NA
"Ecuador","Morocco",1900,NA
"Ecuador","Iran",1900,NA
"Ecuador","Turkey",1900,NA
"Ecuador","China",1900,NA
"Ecuador","Korea",1900,NA
"Ecuador","Japan",1900,NA
"Ecuador","Thailand",1900,NA
"Peru","United States of America",1900,4.62
"Peru","Haiti",1900,NA
"Peru","Dominican Republic",1900,NA
"Peru","Mexico",1900,NA
"Peru","Guatemala",1900,NA
"Peru","Honduras",1900,NA
"Peru","El Salvador",1900,NA
"Peru","Nicaragua",1900,NA
"Peru","Colombia",1900,NA
"Peru","Venezuela",1900,NA
"Peru","Ecuador",1900,0.21
"Peru","Brazil",1900,NA
"Peru","Bolivia",1900,0.47
"Peru","Paraguay",1900,NA
"Peru","Chile",1900,2.42
"Peru","Argentina",1900,NA
"Peru","Uruguay",1900,NA
"Peru","United Kingdom",1900,6.29
"Peru","Netherlands",1900,NA
"Peru","Belgium",1900,0.01
"Peru","France",1900,0.58
"Peru","Switzerland",1900,NA
"Peru","Spain",1900,0.01
"Peru","Portugal",1900,NA
"Peru","Germany",1900,2.48
"Peru","Austria-Hungary",1900,NA
"Peru","Italy",1900,0.02
"Peru","Yugoslavia",1900,NA
"Peru","Greece",1900,NA
"Peru","Romania",1900,NA
"Peru","Russia",1900,NA
"Peru","Sweden",1900,NA
"Peru","Denmark",1900,NA
"Peru","Ethiopia",1900,NA
"Peru","Morocco",1900,NA
"Peru","Iran",1900,NA
"Peru","Turkey",1900,NA
"Peru","China",1900,NA
"Peru","Korea",1900,NA
"Peru","Japan",1900,NA
"Peru","Thailand",1900,NA
"Brazil","United States of America",1900,70.64
"Brazil","Haiti",1900,NA
"Brazil","Dominican Republic",1900,NA
"Brazil","Mexico",1900,NA
"Brazil","Guatemala",1900,NA
"Brazil","Honduras",1900,NA
"Brazil","El Salvador",1900,NA
"Brazil","Nicaragua",1900,NA
"Brazil","Colombia",1900,NA
"Brazil","Venezuela",1900,NA
"Brazil","Ecuador",1900,NA
"Brazil","Peru",1900,NA
"Brazil","Bolivia",1900,NA
"Brazil","Paraguay",1900,NA
"Brazil","Chile",1900,0.55
"Brazil","Argentina",1900,3.51
"Brazil","Uruguay",1900,1.26
"Brazil","United Kingdom",1900,28.65
"Brazil","Netherlands",1900,NA
"Brazil","Belgium",1900,0.0078243
"Brazil","France",1900,NA
"Brazil","Switzerland",1900,NA
"Brazil","Spain",1900,0.3
"Brazil","Portugal",1900,NA
"Brazil","Germany",1900,NA
"Brazil","Austria-Hungary",1900,8.81
"Brazil","Italy",1900,3.07
"Brazil","Yugoslavia",1900,NA
"Brazil","Greece",1900,NA
"Brazil","Romania",1900,NA
"Brazil","Russia",1900,NA
"Brazil","Sweden",1900,NA
"Brazil","Denmark",1900,NA
"Brazil","Ethiopia",1900,NA
"Brazil","Morocco",1900,NA
"Brazil","Iran",1900,NA
"Brazil","Turkey",1900,NA
"Brazil","China",1900,NA
"Brazil","Korea",1900,NA
"Brazil","Japan",1900,NA
"Brazil","Thailand",1900,NA
"Bolivia","United States of America",1900,NA
"Bolivia","Haiti",1900,NA
"Bolivia","Dominican Republic",1900,NA
"Bolivia","Mexico",1900,NA
"Bolivia","Guatemala",1900,NA
"Bolivia","Honduras",1900,NA
"Bolivia","El Salvador",1900,NA
"Bolivia","Nicaragua",1900,NA
"Bolivia","Colombia",1900,NA
"Bolivia","Venezuela",1900,NA
"Bolivia","Ecuador",1900,NA
"Bolivia","Peru",1900,0.04
"Bolivia","Brazil",1900,NA
"Bolivia","Paraguay",1900,NA
"Bolivia","Chile",1900,NA
"Bolivia","Argentina",1900,NA
"Bolivia","Uruguay",1900,NA
"Bolivia","United Kingdom",1900,NA
"Bolivia","Netherlands",1900,NA
"Bolivia","Belgium",1900,NA
"Bolivia","France",1900,NA
"Bolivia","Switzerland",1900,NA
"Bolivia","Spain",1900,NA
"Bolivia","Portugal",1900,NA
"Bolivia","Germany",1900,NA
"Bolivia","Austria-Hungary",1900,NA
"Bolivia","Italy",1900,NA
"Bolivia","Yugoslavia",1900,NA
"Bolivia","Greece",1900,NA
"Bolivia","Romania",1900,NA
"Bolivia","Russia",1900,NA
"Bolivia","Sweden",1900,NA
"Bolivia","Denmark",1900,NA
"Bolivia","Ethiopia",1900,NA
"Bolivia","Morocco",1900,NA
"Bolivia","Iran",1900,NA
"Bolivia","Turkey",1900,NA
"Bolivia","China",1900,NA
"Bolivia","Korea",1900,NA
"Bolivia","Japan",1900,NA
"Bolivia","Thailand",1900,NA
"Paraguay","United States of America",1900,NA
"Paraguay","Haiti",1900,NA
"Paraguay","Dominican Republic",1900,NA
"Paraguay","Mexico",1900,NA
"Paraguay","Guatemala",1900,NA
"Paraguay","Honduras",1900,NA
"Paraguay","El Salvador",1900,NA
"Paraguay","Nicaragua",1900,NA
"Paraguay","Colombia",1900,NA
"Paraguay","Venezuela",1900,NA
"Paraguay","Ecuador",1900,NA
"Paraguay","Peru",1900,NA
"Paraguay","Brazil",1900,NA
"Paraguay","Bolivia",1900,NA
"Paraguay","Chile",1900,NA
"Paraguay","Argentina",1900,NA
"Paraguay","Uruguay",1900,NA
"Paraguay","United Kingdom",1900,NA
"Paraguay","Netherlands",1900,NA
"Paraguay","Belgium",1900,NA
"Paraguay","France",1900,NA
"Paraguay","Switzerland",1900,NA
"Paraguay","Spain",1900,NA
"Paraguay","Portugal",1900,NA
"Paraguay","Germany",1900,NA
"Paraguay","Austria-Hungary",1900,NA
"Paraguay","Italy",1900,NA
"Paraguay","Yugoslavia",1900,NA
"Paraguay","Greece",1900,NA
"Paraguay","Romania",1900,NA
"Paraguay","Russia",1900,NA
"Paraguay","Sweden",1900,NA
"Paraguay","Denmark",1900,NA
"Paraguay","Ethiopia",1900,NA
"Paraguay","Morocco",1900,NA
"Paraguay","Iran",1900,NA
"Paraguay","Turkey",1900,NA
"Paraguay","China",1900,NA
"Paraguay","Korea",1900,NA
"Paraguay","Japan",1900,NA
"Paraguay","Thailand",1900,NA
"Chile","United States of America",1900,8.68
"Chile","Haiti",1900,NA
"Chile","Dominican Republic",1900,NA
"Chile","Mexico",1900,NA
"Chile","Guatemala",1900,NA
"Chile","Honduras",1900,NA
"Chile","El Salvador",1900,NA
"Chile","Nicaragua",1900,NA
"Chile","Colombia",1900,NA
"Chile","Venezuela",1900,NA
"Chile","Ecuador",1900,NA
"Chile","Peru",1900,0.6
"Chile","Brazil",1900,0.05
"Chile","Bolivia",1900,NA
"Chile","Paraguay",1900,NA
"Chile","Argentina",1900,0.14
"Chile","Uruguay",1900,0.18
"Chile","United Kingdom",1900,23.26
"Chile","Netherlands",1900,NA
"Chile","Belgium",1900,5.43
"Chile","France",1900,2.88
"Chile","Switzerland",1900,NA
"Chile","Spain",1900,NA
"Chile","Portugal",1900,NA
"Chile","Germany",1900,7.31
"Chile","Austria-Hungary",1900,NA
"Chile","Italy",1900,0.0036225
"Chile","Yugoslavia",1900,NA
"Chile","Greece",1900,NA
"Chile","Romania",1900,NA
"Chile","Russia",1900,NA
"Chile","Sweden",1900,NA
"Chile","Denmark",1900,NA
"Chile","Ethiopia",1900,NA
"Chile","Morocco",1900,NA
"Chile","Iran",1900,NA
"Chile","Turkey",1900,NA
"Chile","China",1900,NA
"Chile","Korea",1900,NA
"Chile","Japan",1900,NA
"Chile","Thailand",1900,NA
"Argentina","United States of America",1900,8.06
"Argentina","Haiti",1900,NA
"Argentina","Dominican Republic",1900,NA
"Argentina","Mexico",1900,NA
"Argentina","Guatemala",1900,NA
"Argentina","Honduras",1900,NA
"Argentina","El Salvador",1900,NA
"Argentina","Nicaragua",1900,NA
"Argentina","Colombia",1900,NA
"Argentina","Venezuela",1900,NA
"Argentina","Ecuador",1900,NA
"Argentina","Peru",1900,NA
"Argentina","Brazil",1900,5.81
"Argentina","Bolivia",1900,NA
"Argentina","Paraguay",1900,NA
"Argentina","Chile",1900,0.91
"Argentina","Uruguay",1900,2.7
"Argentina","United Kingdom",1900,63.03
"Argentina","Netherlands",1900,NA
"Argentina","Belgium",1900,16.9
"Argentina","France",1900,17.87
"Argentina","Switzerland",1900,NA
"Argentina","Spain",1900,5.87
"Argentina","Portugal",1900,NA
"Argentina","Germany",1900,18.86
"Argentina","Austria-Hungary",1900,NA
"Argentina","Italy",1900,4.04
"Argentina","Yugoslavia",1900,NA
"Argentina","Greece",1900,NA
"Argentina","Romania",1900,NA
"Argentina","Russia",1900,NA
"Argentina","Sweden",1900,NA
"Argentina","Denmark",1900,NA
"Argentina","Ethiopia",1900,NA
"Argentina","Morocco",1900,NA
"Argentina","Iran",1900,NA
"Argentina","Turkey",1900,NA
"Argentina","China",1900,NA
"Argentina","Korea",1900,NA
"Argentina","Japan",1900,NA
"Argentina","Thailand",1900,NA
"Uruguay","United States of America",1900,1.7
"Uruguay","Haiti",1900,NA
"Uruguay","Dominican Republic",1900,NA
"Uruguay","Mexico",1900,NA
"Uruguay","Guatemala",1900,NA
"Uruguay","Honduras",1900,NA
"Uruguay","El Salvador",1900,NA
"Uruguay","Nicaragua",1900,NA
"Uruguay","Colombia",1900,NA
"Uruguay","Venezuela",1900,NA
"Uruguay","Ecuador",1900,NA
"Uruguay","Peru",1900,NA
"Uruguay","Brazil",1900,7.59
"Uruguay","Bolivia",1900,NA
"Uruguay","Paraguay",1900,NA
"Uruguay","Chile",1900,0.72
"Uruguay","Argentina",1900,2.82
"Uruguay","United Kingdom",1900,2.35
"Uruguay","Netherlands",1900,NA
"Uruguay","Belgium",1900,5.21
"Uruguay","France",1900,4.79
"Uruguay","Switzerland",1900,NA
"Uruguay","Spain",1900,0.58
"Uruguay","Portugal",1900,NA
"Uruguay","Germany",1900,2.77
"Uruguay","Austria-Hungary",1900,NA
"Uruguay","Italy",1900,0.72
"Uruguay","Yugoslavia",1900,NA
"Uruguay","Greece",1900,NA
"Uruguay","Romania",1900,NA
"Uruguay","Russia",1900,NA
"Uruguay","Sweden",1900,NA
"Uruguay","Denmark",1900,NA
"Uruguay","Ethiopia",1900,NA
"Uruguay","Morocco",1900,NA
"Uruguay","Iran",1900,NA
"Uruguay","Turkey",1900,NA
"Uruguay","China",1900,NA
"Uruguay","Korea",1900,NA
"Uruguay","Japan",1900,NA
"Uruguay","Thailand",1900,NA
"United Kingdom","United States of America",1900,143.38
"United Kingdom","Haiti",1900,1.57
"United Kingdom","Dominican Republic",1900,1.57
"United Kingdom","Mexico",1900,9.63
"United Kingdom","Guatemala",1900,NA
"United Kingdom","Honduras",1900,NA
"United Kingdom","El Salvador",1900,NA
"United Kingdom","Nicaragua",1900,NA
"United Kingdom","Colombia",1900,1.66
"United Kingdom","Venezuela",1900,2.71
"United Kingdom","Ecuador",1900,1.62
"United Kingdom","Peru",1900,4.57
"United Kingdom","Brazil",1900,28.04
"United Kingdom","Bolivia",1900,0.96
"United Kingdom","Paraguay",1900,NA
"United Kingdom","Chile",1900,39.78
"United Kingdom","Argentina",1900,34.42
"United Kingdom","Uruguay",1900,8.14
"United Kingdom","Netherlands",1900,52.71
"United Kingdom","Belgium",1900,51.93
"United Kingdom","France",1900,96.27
"United Kingdom","Switzerland",1900,11.9
"United Kingdom","Spain",1900,27.11
"United Kingdom","Portugal",1900,9.95
"United Kingdom","Germany",1900,134.93
"United Kingdom","Austria-Hungary",1900,12.12
"United Kingdom","Italy",1900,42.27
"United Kingdom","Yugoslavia",1900,NA
"United Kingdom","Greece",1900,5.08
"United Kingdom","Romania",1900,2.82
"United Kingdom","Russia",1900,53.01
"United Kingdom","Sweden",1900,26.12
"United Kingdom","Denmark",1900,20.51
"United Kingdom","Ethiopia",1900,NA
"United Kingdom","Morocco",1900,2.77
"United Kingdom","Iran",1900,1.81
"United Kingdom","Turkey",1900,24.16
"United Kingdom","China",1900,26.86
"United Kingdom","Korea",1900,NA
